[10:28:20] Program Start!
[10:29:21] Program Start!
[14:51:54] Program Start!
[14:51:55] 근무시작: 동문
[14:51:55] 설치된 출구무인정산기 없음!
[14:51:55] 바코드스캐너가 없음!
[14:51:57] 영수증프린터 포트오픈 에러: ie_BadId - Specified comport doesn't exist
[14:51:57] Ping 시간 체크1-71598047
[14:51:57] Ping 시간 체크2-71598250
[14:51:57] Ping 시간 체크1-71598265
[14:52:36] Program Start!
[14:52:40] 근무시작: 동문
[14:52:41] 설치된 출구무인정산기 없음!
[14:52:41] 바코드스캐너가 없음!
[14:52:41] 설치된 영수증프린터가 없음!
[14:52:41] Ping 시간 체크1-71642413
[14:52:41] Ping 시간 체크2-71642429
[14:52:41] Ping 시간 체크1-71642507
[14:52:41] Ping 시간 체크2-71642507
[14:52:41] 설치된 입구전광판이 없음!
[14:52:41] 설치된 출구전광판이 없음!
[14:52:41] TfrmMainNew.FormShow: 열 이름 'RealUse'이(가) 잘못되었습니다
[14:52:41] LPR11 Recv: 127.0.0.1
[14:52:41] LPR13 Recv: 127.0.0.1
[14:52:42] LPR13 Recv: LPR_N
[14:52:43] LPR11 Recv: LPR_N
[14:52:44] LPR13 Recv: LPR_N
[14:52:45] LPR11 Recv: LPR_N
[14:52:49] LPR13 Recv: LPR_N
[14:52:50] LPR11 Recv: LPR_N
[14:52:54] LPR13 Recv: LPR_N
[14:52:56] LPR11 Recv: LPR_N
[14:53:00] LPR13 Recv: LPR_N
[14:53:01] LPR11 Recv: LPR_N
[14:53:05] LPR13 Recv: LPR_N
[14:53:06] LPR11 Recv: LPR_N
[14:53:11] LPR13 Recv: LPR_N
[14:53:11] LPR11 Recv: LPR_N
[14:53:16] LPR13 Recv: LPR_N
[14:53:16] LPR11 Recv: LPR_N
[14:53:21] LPR13 Recv: LPR_N
[14:53:22] LPR11 Recv: LPR_N
[14:53:26] LPR13 Recv: LPR_N
[14:53:27] LPR11 Recv: LPR_N
[14:53:31] LPR13 Recv: LPR_N
[14:53:33] LPR11 Recv: LPR_N
[14:53:37] LPR13 Recv: LPR_N
[14:53:38] LPR11 Recv: LPR_N
[14:53:42] LPR13 Recv: LPR_N
[14:53:43] LPR11 Recv: LPR_N
[14:53:47] LPR13 Recv: LPR_N
[14:53:48] LPR11 Recv: LPR_N
[14:53:52] LPR13 Recv: CH1#39두1446#N#\2018\02\01\CH1_20180201145352_39두1446.jpg
[14:53:52] LPR Check: 39두1446,http://127.0.0.1:9080/MSImage/2018/02/01/CH1_20180201145352_39두1446.jpg,1,,,0, 2018-02-01 14:53:52
[14:53:52] File: \\127.0.0.1\MSImage\2018\02\01\CH1_20180201145352_39두1446.jpg
[14:53:52] 일반차량: 39두1446, 
[14:53:52] Ping 시간 체크1-71714002
[14:53:52] Ping 시간 체크2-71714034
[14:53:52] 일반차량출차: 39두1446, 
[14:53:52] Ping 시간 체크1-71714205
[14:53:52] Ping 시간 체크2-71714205
[14:53:52] LPR13 Recv: LPR_N
[14:53:54] LPR11 Recv: LPR_N
[14:53:58] LPR13 Recv: LPR_N
[14:53:59] LPR11 Recv: LPR_N
[14:54:03] LPR13 Recv: LPR_N
[14:54:04] LPR11 Recv: LPR_N
[14:54:09] LPR13 Recv: LPR_N
[14:54:10] LPR11 Recv: LPR_N
[14:54:14] LPR13 Recv: LPR_N
[14:54:15] LPR11 Recv: LPR_N
[14:54:19] LPR13 Recv: LPR_N
[14:54:20] LPR11 Recv: LPR_N
[14:54:24] LPR13 Recv: LPR_N
[14:54:25] LPR11 Recv: LPR_N
[14:54:29] LPR13 Recv: LPR_N
[14:54:31] LPR11 Recv: LPR_N
[14:54:35] LPR13 Recv: LPR_N
[14:54:36] LPR11 Recv: LPR_N
[14:54:40] LPR13 Recv: LPR_N
[14:54:41] LPR11 Recv: LPR_N
[14:54:45] LPR13 Recv: LPR_N
[14:54:46] LPR11 Recv: LPR_N
[14:54:50] LPR13 Recv: LPR_N
[14:54:52] LPR11 Recv: LPR_N
[14:54:56] LPR13 Recv: LPR_N
[14:54:57] LPR11 Recv: LPR_N
[14:55:01] LPR13 Recv: LPR_N
[14:55:02] LPR11 Recv: LPR_N
[14:55:07] LPR13 Recv: LPR_N
[14:55:08] LPR11 Recv: LPR_N
[14:55:12] LPR13 Recv: LPR_N
[14:55:13] LPR11 Recv: LPR_N
[14:55:17] LPR13 Recv: LPR_N
[14:55:18] LPR11 Recv: LPR_N
[14:55:22] LPR13 Recv: LPR_N
[14:55:23] LPR11 Recv: LPR_N
[14:55:27] LPR13 Recv: LPR_N
[14:55:29] LPR11 Recv: LPR_N
[14:55:33] LPR13 Recv: LPR_N
[14:55:34] LPR11 Recv: LPR_N
[14:55:38] LPR13 Recv: LPR_N
[14:55:39] LPR11 Recv: LPR_N
[14:55:43] LPR13 Recv: LPR_N
[14:55:44] LPR11 Recv: LPR_N
[14:55:48] LPR13 Recv: LPR_N
[14:55:50] LPR11 Recv: LPR_N
[14:55:54] LPR13 Recv: LPR_N
[14:55:55] LPR11 Recv: LPR_N
[14:55:59] LPR13 Recv: LPR_N
[14:56:00] LPR11 Recv: LPR_N
[14:56:05] LPR13 Recv: LPR_N
[14:56:06] LPR11 Recv: LPR_N
[14:56:10] LPR13 Recv: LPR_N
[14:56:11] LPR11 Recv: LPR_N
[14:56:15] LPR13 Recv: LPR_N
[14:56:16] LPR11 Recv: LPR_N
[14:56:20] LPR13 Recv: LPR_N
[14:56:21] LPR11 Recv: LPR_N
[14:56:25] LPR13 Recv: LPR_N
[14:56:27] LPR11 Recv: LPR_N
[14:56:31] LPR13 Recv: LPR_N
[14:56:32] LPR11 Recv: LPR_N
[14:56:36] LPR13 Recv: LPR_N
[14:56:37] LPR11 Recv: LPR_N
[14:56:41] LPR13 Recv: LPR_N
[14:56:42] LPR11 Recv: LPR_N
[14:56:47] LPR13 Recv: LPR_N
[14:56:48] LPR11 Recv: LPR_N
[14:56:52] LPR13 Recv: LPR_N
[14:56:53] LPR11 Recv: LPR_N
[14:56:57] LPR13 Recv: LPR_N
[14:56:59] LPR11 Recv: LPR_N
[14:57:03] LPR13 Recv: LPR_N
[14:57:04] LPR11 Recv: LPR_N
[14:57:08] LPR13 Recv: LPR_N
[14:57:09] LPR11 Recv: LPR_N
[14:57:13] LPR13 Recv: LPR_N
[14:57:14] LPR11 Recv: LPR_N
[14:57:18] LPR13 Recv: LPR_N
[14:57:19] LPR11 Recv: LPR_N
[14:57:23] LPR13 Recv: LPR_N
[14:57:25] LPR11 Recv: LPR_N
[14:57:29] LPR13 Recv: LPR_N
[14:57:30] LPR11 Recv: LPR_N
[14:57:34] LPR13 Recv: LPR_N
[14:57:35] LPR11 Recv: LPR_N
[14:57:39] LPR13 Recv: LPR_N
[14:57:40] LPR11 Recv: LPR_N
[14:57:44] LPR13 Recv: LPR_N
[14:57:46] LPR11 Recv: LPR_N
[14:57:50] LPR13 Recv: LPR_N
[14:57:51] LPR11 Recv: LPR_N
[14:57:55] LPR13 Recv: LPR_N
[14:57:57] LPR11 Recv: LPR_N
[14:58:01] LPR13 Recv: LPR_N
[14:58:02] LPR11 Recv: LPR_N
[14:58:06] LPR13 Recv: LPR_N
[14:58:07] LPR11 Recv: LPR_N
[14:58:11] LPR13 Recv: LPR_N
[14:58:12] LPR11 Recv: LPR_N
[14:58:16] LPR13 Recv: LPR_N
[14:58:17] LPR11 Recv: LPR_N
[14:58:21] LPR13 Recv: LPR_N
[14:58:23] LPR11 Recv: LPR_N
[14:58:27] LPR13 Recv: LPR_N
[14:58:28] LPR11 Recv: LPR_N
[14:58:32] LPR13 Recv: LPR_N
[14:58:33] LPR11 Recv: LPR_N
[14:58:38] LPR13 Recv: LPR_N
[14:58:38] LPR11 Recv: LPR_N
[14:58:43] LPR13 Recv: LPR_N
[14:58:44] LPR11 Recv: LPR_N
[14:58:48] LPR13 Recv: LPR_N
[14:58:49] LPR11 Recv: LPR_N
[14:58:53] LPR13 Recv: LPR_N
[14:58:55] LPR11 Recv: LPR_N
[14:58:59] LPR13 Recv: LPR_N
[14:59:00] LPR11 Recv: LPR_N
[14:59:04] LPR13 Recv: LPR_N
[14:59:05] LPR11 Recv: LPR_N
[14:59:09] LPR13 Recv: LPR_N
[14:59:10] LPR11 Recv: LPR_N
[14:59:14] LPR13 Recv: LPR_N
[14:59:15] LPR11 Recv: LPR_N
[14:59:19] LPR13 Recv: LPR_N
[14:59:21] LPR11 Recv: LPR_N
[14:59:25] LPR13 Recv: LPR_N
[14:59:26] LPR11 Recv: LPR_N
[14:59:28] LPR13 Recv: CH1#39두1446#N#\2018\02\01\CH1_20180201145928_39두1446.jpg
[14:59:28] LPR Check: 39두1446,http://127.0.0.1:9080/MSImage/2018/02/01/CH1_20180201145928_39두1446.jpg,1,,,0, 2018-02-01 14:59:28
[14:59:28] File: \\127.0.0.1\MSImage\2018\02\01\CH1_20180201145928_39두1446.jpg
[14:59:28] 일반차량: 39두1446, 
[15:06:33] Program Start!
[15:19:53] Program Start!
[15:20:52] Program Start!
