[15:13:56] Program Start!
[15:13:59] 근무시작: 근무자
[15:13:59] 설치된 출구무인정산기 없음!
[15:13:59] 바코드스캐너가 없음!
[15:13:59] 영수증프린터 포트오픈 에러: ie_BadId - Specified comport doesn't exist
[15:13:59] Ping 시간 체크1-111456937
[15:13:59] Ping 시간 체크2-111456937
[15:13:59] Ping 시간 체크1-111456953
[15:13:59] Ping 시간 체크2-111456953
[15:13:59] Ping 시간 체크1-111456953
[15:13:59] Ping 시간 체크2-111456953
[15:13:59] 설치된 출구전광판이 없음!
[15:13:59] csOutDsp1Error: 1110
[15:13:59] LPR11 Recv: 127.0.0.1
[15:13:59] LPR21 Recv: 127.0.0.1
[15:14:00] LPR11 Recv: LPR_N
[15:14:01] LPR21 Recv: LPR_N
[15:14:02] LPR11 Recv: LPR_N
[15:14:06] LPR21 Recv: LPR_N
[15:14:07] LPR11 Recv: LPR_N
[15:14:11] LPR21 Recv: LPR_N
[15:14:13] LPR11 Recv: LPR_N
[15:14:14] LPR11 Recv: CH1#경기46로8862#O#\2018\05\11\CH1_20180511151414_경기46로8862.jpg
[15:14:14] LPR Check: 경기46로8862,http://127.0.0.1:9080/MSImage/2018/05/11/CH1_20180511151414_경기46로8862.jpg,1,,,0, 2018-05-11 15:14:14
[15:14:14] File: \\127.0.0.1\MSImage\2018\05\11\CH1_20180511151414_경기46로8862.jpg
[15:14:14] 정기차량시작: 경기46로8862, 
[15:14:14] Ping 시간 체크1-111471890
[15:14:14] Ping 시간 체크2-111471890
[15:14:14] Ping 시간 체크1-111471890
[15:14:14] Ping 시간 체크2-111471890
[15:14:14] 입구차단기 Open
[15:14:14] 정기차량처리: 경기46로8862, 
[15:14:17] LPR21 Recv: LPR_N
[15:14:18] LPR11 Recv: LPR_N
[15:14:20] LPR11 Recv: CH1#경기46로8862#O#\2018\05\11\CH1_20180511151420_경기46로8862.jpg
[15:14:20] LPR Check: 경기46로8862,http://127.0.0.1:9080/MSImage/2018/05/11/CH1_20180511151420_경기46로8862.jpg,1,,,0, 2018-05-11 15:14:20
[15:14:20] File: \\127.0.0.1\MSImage\2018\05\11\CH1_20180511151420_경기46로8862.jpg
[15:14:20] 정기차량시작: 경기46로8862, 
[15:14:20] Ping 시간 체크1-111477734
[15:14:20] Ping 시간 체크2-111477734
[15:14:20] Ping 시간 체크1-111477734
[15:14:20] Ping 시간 체크2-111477734
[15:14:20] 입구차단기 Open
[15:14:20] 정기차량처리: 경기46로8862, 
[15:14:22] LPR21 Recv: LPR_N
[15:14:24] LPR11 Recv: LPR_N
[15:14:27] LPR21 Recv: LPR_N
[15:14:29] LPR11 Recv: LPR_N
