[10:28:09] aa
[10:28:25] aa
[10:28:41] aa
[10:32:41] 80번 부스 장애해제, 발생일자: 2015-09-21, 발생시간: 2015-09-21
[10:33:51] 80번 부스 장애해제, 발생일자: 2015-09-21, 발생시간: 2015-09-21
[10:35:23] 80번 부스 장애해제, 발생일자: 2015-09-21, 발생시간: 2015-09-21
[10:37:09] 80번 부스 장애해제, 발생일자: 2015-09-21, 발생시간: 2015-09-21
[10:40:01] 80번 부스 장애해제, 발생일자: 2015-09-21, 발생시간: 2015-09-21
[10:43:12] 80번 부스 장애해제, 발생일자: 2015-09-21, 발생시간: 2015-09-21
[10:43:26] 모든 장비 장애해제
[10:44:09] 80번 부스 장애해제, 발생일자: 2015-09-21, 발생시간: 2015-09-21
[10:44:15] 80번 부스 장애해제, 발생일자: 2015-09-21, 발생시간: 2015-09-21
[10:44:24] 0번 부스 장애해제, 발생일자: , 발생시간: 
[10:45:06] 80번 부스 장애해제, 발생일자: 2015-09-21, 발생시간: 2015-09-21
[10:45:07] 80번 부스 장애해제, 발생일자: 2015-09-21, 발생시간: 2015-09-21
[10:47:28] 80번 부스 장애해제, 발생일자: 2015-09-21, 발생시간: 2015-09-21
[10:47:30] 80번 부스 장애해제, 발생일자: 2015-09-21, 발생시간: 2015-09-21
[10:49:24] 80번 부스 장애해제, 발생일자: 2015-09-21, 발생시간: 2015-09-21
[10:49:25] 80번 부스 장애해제, 발생일자: 2015-09-21, 발생시간: 2015-09-21
[10:50:18] 80번 부스 장애해제, 발생일자: 2015-09-21, 발생시간: 2015-09-21
[10:50:22] 80번 부스 장애해제, 발생일자: 2015-09-21, 발생시간: 2015-09-21
[10:50:53] 80번 부스 장애해제, 발생일자: 2015-09-21, 발생시간: 2015-09-21
[10:51:07] 80번 부스 장애해제, 발생일자: 2015-09-21, 발생시간: 2015-09-21
[10:52:15] 80번 부스 장애해제, 발생일자: 2015-09-21, 발생시간: 2015-09-21
[10:52:19] 80번 부스 장애해제, 발생일자: 2015-09-21, 발생시간: 2015-09-21
[10:52:25] 0번 부스 장애해제, 발생일자: , 발생시간: 
[10:52:31] 0번 부스 장애해제, 발생일자: , 발생시간: 
[10:53:33] 80번 부스 장애해제, 발생일자: 2015-09-21, 발생시간: 2015-09-21
[10:53:35] 80번 부스 장애해제, 발생일자: 2015-09-21, 발생시간: 2015-09-21
[10:54:20] 80번 부스 장애해제, 발생일자: 2015-09-21, 발생시간: 2015-09-21
[10:54:23] 80번 부스 장애해제, 발생일자: 2015-09-21, 발생시간: 2015-09-21
[10:55:04] 80번 부스 장애해제, 발생일자: 2015-09-21, 발생시간: 2015-09-21
[10:57:30] 80번 부스 장애해제, 발생일자: 2015-09-21, 발생시간: 2015-09-21
[10:57:40] 0번 부스 장애해제, 발생일자: , 발생시간: 
[10:58:51] 80번 부스 장애해제, 발생일자: 2015-09-21, 발생시간: 2015-09-21
[10:59:36] 80번 부스 장애해제, 발생일자: 2015-09-21, 발생시간: 2015-09-21
[11:01:58] 80번 부스 장애해제, 발생일자: 2015-09-21, 발생시간: 2015-09-21
[11:03:50] 80번 부스 장애해제, 발생일자: 2015-09-21, 발생시간: 2015-09-21
[11:04:08] 80번 부스 장애해제, 발생일자: 2015-09-21, 발생시간: 2015-09-21
[11:07:54] 80번 부스 장애해제, 발생일자: 2015-09-21, 발생시간: 2015-09-21
[11:08:30] 80번 부스 장애해제, 발생일자: 2015-09-21, 발생시간: 2015-09-21
[11:08:50] 모든 장비 장애해제
[11:09:10] 80번 부스 장애해제, 발생일자: 2015-09-21, 발생시간: 2015-09-21
[11:09:12] 80번 부스 장애해제, 발생일자: 2015-09-21, 발생시간: 2015-09-21
[11:09:28] 모든 장비 장애해제
[11:09:46] 80번 부스 장애해제, 발생일자: 2015-09-21, 발생시간: 2015-09-21
[11:25:00] 80번 부스 장애해제, 발생일자: 2015-09-21, 발생시간: 2015-09-21
[11:25:01] 80번 부스 장애해제, 발생일자: 2015-09-21, 발생시간: 2015-09-21
[11:43:48] 80번 부스 장애해제, 발생일자: 2015-09-21, 발생시간: 2015-09-21
[11:43:49] 80번 부스 장애해제, 발생일자: 2015-09-21, 발생시간: 2015-09-21
