[14:13:31] TfrmMain.GridData: 개체 이름 'DeviceStatus'이(가) 잘못되었습니다
[14:50:28] TfrmMain.GridData: No MCI device open
[14:50:45] TfrmMain.GridData: No MCI device open
[14:51:05] TfrmMain.GridData: No MCI device open
[14:51:25] TfrmMain.GridData: No MCI device open
[14:55:11] TfrmMain.GridData: No MCI device open
[14:55:29] TfrmMain.GridData: No MCI device open
[14:56:13] TfrmMain.GridData: No MCI device open
[14:56:30] TfrmMain.GridData: No MCI device open
[14:56:50] TfrmMain.GridData: No MCI device open
[14:57:10] TfrmMain.GridData: No MCI device open
[14:57:30] TfrmMain.GridData: No MCI device open
[14:57:50] TfrmMain.GridData: No MCI device open
[14:58:10] TfrmMain.GridData: No MCI device open
[14:58:30] TfrmMain.GridData: No MCI device open
[14:58:50] TfrmMain.GridData: No MCI device open
[14:59:10] TfrmMain.GridData: No MCI device open
[14:59:30] TfrmMain.GridData: No MCI device open
[14:59:50] TfrmMain.GridData: No MCI device open
[15:00:10] TfrmMain.GridData: No MCI device open
[15:00:30] TfrmMain.GridData: No MCI device open
[15:00:50] TfrmMain.GridData: No MCI device open
[15:01:10] TfrmMain.GridData: No MCI device open
[15:01:30] TfrmMain.GridData: No MCI device open
[15:01:50] TfrmMain.GridData: No MCI device open
[15:02:10] TfrmMain.GridData: No MCI device open
[15:02:30] TfrmMain.GridData: No MCI device open
[15:02:50] TfrmMain.GridData: No MCI device open
[15:03:10] TfrmMain.GridData: No MCI device open
[15:03:30] TfrmMain.GridData: No MCI device open
[15:03:50] TfrmMain.GridData: No MCI device open
[15:04:10] TfrmMain.GridData: No MCI device open
[15:04:30] TfrmMain.GridData: No MCI device open
[15:04:50] TfrmMain.GridData: No MCI device open
[15:05:10] TfrmMain.GridData: No MCI device open
[15:05:30] TfrmMain.GridData: No MCI device open
[15:05:50] TfrmMain.GridData: No MCI device open
[15:06:10] TfrmMain.GridData: No MCI device open
[15:06:30] TfrmMain.GridData: No MCI device open
[15:06:50] TfrmMain.GridData: No MCI device open
[15:07:10] TfrmMain.GridData: No MCI device open
[15:07:30] TfrmMain.GridData: No MCI device open
[15:07:50] TfrmMain.GridData: No MCI device open
[15:08:10] TfrmMain.GridData: No MCI device open
[15:08:30] TfrmMain.GridData: No MCI device open
[15:08:50] TfrmMain.GridData: No MCI device open
[15:09:10] TfrmMain.GridData: No MCI device open
[15:09:30] TfrmMain.GridData: No MCI device open
[15:09:50] TfrmMain.GridData: No MCI device open
[15:10:10] TfrmMain.GridData: No MCI device open
[15:10:30] TfrmMain.GridData: No MCI device open
[15:10:50] TfrmMain.GridData: No MCI device open
[15:11:10] TfrmMain.GridData: No MCI device open
[15:11:30] TfrmMain.GridData: No MCI device open
[15:11:50] TfrmMain.GridData: No MCI device open
[15:12:10] TfrmMain.GridData: No MCI device open
[15:12:30] TfrmMain.GridData: No MCI device open
[15:12:50] TfrmMain.GridData: No MCI device open
[15:13:10] TfrmMain.GridData: No MCI device open
[15:13:30] TfrmMain.GridData: No MCI device open
[15:13:50] TfrmMain.GridData: No MCI device open
[15:14:10] TfrmMain.GridData: No MCI device open
[15:14:30] TfrmMain.GridData: No MCI device open
[15:14:50] TfrmMain.GridData: No MCI device open
