[13:18:47] Program Start!
[13:20:33] Program Start!
[14:10:58] jasmine_car 파일 없음
[14:15:58] jasmine_car 파일 없음
[14:20:58] jasmine_car 파일 없음
[14:25:58] jasmine_car 파일 없음
[14:30:58] jasmine_car 파일 없음
[14:35:58] jasmine_car 파일 없음
[14:40:58] jasmine_car 파일 없음
[14:45:58] jasmine_car 파일 없음
[14:50:58] jasmine_car 파일 없음
[14:55:58] jasmine_car 파일 없음
[15:00:58] jasmine_car 파일 없음
[15:05:58] jasmine_car 파일 없음
[15:10:58] jasmine_car 파일 없음
[15:15:58] jasmine_car 파일 없음
[15:20:58] jasmine_car 파일 없음
[15:25:58] jasmine_car 파일 없음
[15:30:58] jasmine_car 파일 없음
[15:35:58] jasmine_car 파일 없음
[15:40:58] jasmine_car 파일 없음
[15:45:58] jasmine_car 파일 없음
[15:50:58] jasmine_car 파일 없음
[15:55:58] jasmine_car 파일 없음
[16:00:58] jasmine_car 파일 없음
[16:05:58] jasmine_car 파일 없음
[16:10:58] jasmine_car 파일 없음
[16:15:58] jasmine_car 파일 없음
[16:20:58] jasmine_car 파일 없음
[16:25:58] jasmine_car 파일 없음
[16:30:58] jasmine_car 파일 없음
[16:35:58] jasmine_car 파일 없음
[16:40:58] jasmine_car 파일 없음
[16:45:58] jasmine_car 파일 없음
[16:50:58] jasmine_car 파일 없음
[16:55:58] jasmine_car 파일 없음
[17:00:58] jasmine_car 파일 없음
[17:05:58] jasmine_car 파일 없음
[17:10:58] jasmine_car 파일 없음
[17:15:58] jasmine_car 파일 없음
[17:20:58] jasmine_car 파일 없음
[17:25:58] jasmine_car 파일 없음
[17:30:58] jasmine_car 파일 없음
[17:35:58] jasmine_car 파일 없음
[17:40:58] jasmine_car 파일 없음
[17:45:58] jasmine_car 파일 없음
[17:48:43] Program Close
