[14:13:08] Program Start!
[14:13:21] TfrmMain.FormShow: qryMainTemp: Field 'MichulKeep' not found
[14:13:35] Program Close
[14:15:52] Program Start!
[14:15:52] TfrmMain.FormShow: qryMainTemp: Field 'MichulKeep' not found
[14:15:53] Program Close
[14:49:41] Program Start!
[14:49:42] TfrmMain.FormShow: qryMainTemp: Field 'MichulKeep' not found
[14:49:44] Program Close
[14:50:01] Program Start!
[14:50:01] TfrmMain.FormShow: qryMainTemp: Field 'MichulKeep' not found
[14:50:17] Program Start!
[14:51:33] Program Close
[14:54:14] Program Start!
[14:55:44] Program Close
[14:56:15] Program Start!
[15:01:09] jasmine_car 파일 없음
[15:06:09] jasmine_car 파일 없음
[15:11:09] jasmine_car 파일 없음
[15:16:09] jasmine_car 파일 없음
[15:21:09] jasmine_car 파일 없음
[15:26:09] jasmine_car 파일 없음
[15:31:09] jasmine_car 파일 없음
[15:36:09] jasmine_car 파일 없음
[15:41:09] jasmine_car 파일 없음
[15:46:09] jasmine_car 파일 없음
[15:51:09] jasmine_car 파일 없음
[15:56:09] jasmine_car 파일 없음
[16:01:09] jasmine_car 파일 없음
[16:06:09] jasmine_car 파일 없음
[16:11:09] jasmine_car 파일 없음
[16:16:09] jasmine_car 파일 없음
[16:21:09] jasmine_car 파일 없음
[16:26:09] jasmine_car 파일 없음
[16:31:09] jasmine_car 파일 없음
[16:36:09] jasmine_car 파일 없음
[16:41:09] jasmine_car 파일 없음
[16:46:09] jasmine_car 파일 없음
[16:46:38] Program Close
